2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_price_rate_of_change:227  | Calculated ROC_12 for 1293 data points
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_price_rate_of_change:227  | Calculated ROC_12 for 1289 data points
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.ml_predictor | _validate_loaded_model:4753 | Model validation passed for ADMM_HISTORICAL_DATA (individual)
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :398  | Calculating Moving Averages...
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :398  | Calculating Moving Averages...
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.ml_predictor | load_model          :3763 | Individual model loaded successfully for ADMM_HISTORICAL_DATA
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_sma       :63   | Calculated SMA_20 for 1293 data points
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_sma       :63   | Calculated SMA_20 for 1289 data points
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_sma       :63   | Calculated SMA_50 for 1289 data points
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :402  | Calculating Bollinger Bands...
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_sma       :63   | Calculated SMA_50 for 1293 data points
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :402  | Calculating Bollinger Bands...
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_bollinger_bands:201  | Calculated Bollinger Bands(20,2) for 1289 data points
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_bollinger_bands:201  | Calculated Bollinger Bands(20,2) for 1293 data points
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :409  | Calculating Volume indicators...
2025-12-02 17:29:06 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :409  | Calculating Volume indicators...
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.ml_predictor | load_scaler         :3828 | Scaler loaded for ADMM_HISTORICAL_DATA from data\scalers\ADMM_HISTORICAL_DATA_scaler.pkl
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_sma       :63   | Calculated SMA_20 for 1293 data points
2025-12-02 17:29:06 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_sma       :63   | Calculated SMA_20 for 1289 data points
2025-12-02 17:29:07 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_obv       :269  | Calculated OBV for 1293 data points
2025-12-02 17:29:07 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :414  | Calculating return features...
2025-12-02 17:29:07 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_obv       :269  | Calculated OBV for 1289 data points
2025-12-02 17:29:07 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_returns   :295  | Calculated 1-day returns
2025-12-02 17:29:07 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :414  | Calculating return features...
2025-12-02 17:29:07 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_returns   :295  | Calculated 2-day returns
2025-12-02 17:29:07 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_returns   :295  | Calculated 1-day returns
2025-12-02 17:29:07 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_returns   :295  | Calculated 2-day returns
2025-12-02 17:29:07 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_returns   :295  | Calculated 5-day returns
2025-12-02 17:29:07 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_returns   :295  | Calculated 5-day returns
2025-12-02 17:29:07 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :419  | Calculating rolling volatility...
2025-12-02 17:29:07 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :419  | Calculating rolling volatility...
2025-12-02 17:29:07 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_rolling_volatility:328  | Calculated 20-day rolling volatility for 1289 data points
2025-12-02 17:29:07 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_rolling_volatility:328  | Calculated 20-day rolling volatility for 1293 data points
2025-12-02 17:29:07 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :428  | Successfully added 16 technical indicators: RSI_14, MACD, MACD_Signal, MACD_Histogram, ROC_12, SMA_20, SMA_50, BB_Upper, BB_Middle, BB_Lower, Volume_MA_20, OBV, Return_1d, Return_2d, Return_5d, Volatility_20d
2025-12-02 17:29:07 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :428  | Successfully added 16 technical indicators: RSI_14, MACD, MACD_Signal, MACD_Histogram, ROC_12, SMA_20, SMA_50, BB_Upper, BB_Middle, BB_Lower, Volume_MA_20, OBV, Return_1d, Return_2d, Return_5d, Volatility_20d
2025-12-02 17:29:07 | INFO     | psx_ai_advisor.data_storage | load_stock_data     :337  | Loaded 1289 records for ADMM_HISTORICAL_DATA from data\ADMM_HISTORICAL_DATA.csv
2025-12-02 17:29:07 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :382  | Calculating comprehensive technical indicators...
2025-12-02 17:29:07 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :385  | Calculating RSI...
2025-12-02 17:29:07 | DEBUG    | psx_ai_advisor.ml_predictor | _load_model_memory_efficient:3466 | Successfully loaded model from data\models\ABOT_HISTORICAL_DATA_model.pkl: 1286.0 KB
2025-12-02 17:29:07 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_rsi       :109  | Calculated RSI_14 for 1289 data points
2025-12-02 17:29:07 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :388  | Calculating MACD...
2025-12-02 17:29:07 | DEBUG    | psx_ai_advisor.technical_analysis | calculate_macd      :162  | Calculated MACD(12,26,9) for 1289 data points
2025-12-02 17:29:07 | INFO     | psx_ai_advisor.technical_analysis | add_all_indicators  :394  | Calculating Price Rate of Change...
